algorithm,date,iteration,seed,size
ea1p1,20210114094440_188,946,16106138801872930,100
ea1p1,20210114094440_189,857,16106138801884580,100
ea1p1,20210114094440_199,579,16106138801895210,100
ea1p1,20210114094440_199,1189,16106138801889530,100
ea1p1,20210114094440_202,1156,16106138802006380,100
ea1p1,20210114094440_203,1571,16106138802007570,100
ea1p1,20210114094440_205,1099,16106138802036710,100
ea1p1,20210114094440_205,962,16106138802040150,100
ea1p1,20210114094440_208,858,16106138802069780,100
ea1p1,20210114094440_213,1163,16106138802110500,100
ea1p1,20210114094440_214,1027,16106138802124040,100
ea1p1,20210114094440_215,1338,16106138802132260,100
ea1p1,20210114094440_215,1011,16106138802143940,100
ea1p1,20210114094440_218,1123,16106138802162010,100
ea1p1,20210114094440_22,698,16106138802183818,100
ea1p1,20210114094440_221,1115,16106138802183830,100
ea1p1,20210114094440_224,1682,16106138802206768,100
ea1p1,20210114094440_237,1244,16106138802348380,100
ea1p1,20210114094440_238,883,16106138802374690,100
ea1p1,20210114094440_239,1988,16106138802361630,100
ea1p1,20210114094440_24,679,16106138802389820,100
ea1p1,20210114094440_24,593,16106138802392262,100
ea1p1,20210114094440_241,1074,16106138802399950,100
ea1p1,20210114094440_242,967,16106138802404960,100
ea1p1,20210114094440_243,587,16106138802429380,100
ea1p1,20210114094440_245,898,16106138802440870,100
ea1p1,20210114094440_245,858,16106138802441910,100
ea1p1,20210114094440_247,1076,16106138802461370,100
ea1p1,20210114094440_248,771,16106138802477290,100
ea1p1,20210114094440_249,552,16106138802490630,100
ea1p1,20210114094440_251,1259,16106138802496500,100
ea1p1,20210114094440_253,935,16106138802516810,100
ea1p1,20210114094440_253,2203,16106138802501882,100
ea1p1,20210114094440_258,1225,16106138802558330,100
ea1p1,20210114094440_268,896,16106138802673262,100
ea1p1,20210114094440_269,1529,16106138802666572,100
ea1p1,20210114094440_269,678,16106138802681860,100
ea1p1,20210114094440_27,969,16106138802689560,100
ea1p1,20210114094440_271,1072,16106138802692800,100
ea1p1,20210114094440_272,724,16106138802712510,100
ea1p1,20210114094440_278,1759,16106138802763510,100
ea1p1,20210114095009_795,13613,16106142096954970,1000
ea1p1,20210114095009_918,31842,16106142098248970,2000
ea1p1,20210114095010_049,17142,16106142099882380,1000
ea1p1,20210114095010_188,21202,16106142101465700,1000
ea1p1,20210114095010_322,12933,16106142102352728,1000
ea1p1,20210114095010_325,14075,16106142102369530,1000
ea1p1,20210114095010_391,14515,16106142103653180,1000
ea1p1,20210114095010_391,13849,16106142103662970,1000
ea1p1,20210114095010_396,43370,16106142102435182,2000
ea1p1,20210114095010_54,30093,16106142104285418,2000
ea1p1,20210114095010_566,36027,16106142104442440,2000
ea1p1,20210114095010_616,29527,16106142105690770,1000
ea1p1,20210114095010_628,39470,16106142105647650,2000
ea1p1,20210114095010_633,30711,16106142105818850,2000
ea1p1,20210114095010_633,44255,16106142105605750,2000
ea1p1,20210114095010_643,16083,16106142106169692,1000
ea1p1,20210114095010_812,40039,16106142106441210,2000
ea1p1,20210114095010_816,37110,16106142106561950,2000
ea1p1,20210114095010_865,37307,16106142107968400,2000
ea1p1,20210114095010_879,15543,16106142108505170,1000
ea1p1,20210114095010_976,15363,16106142108909250,1000
ea1p1,20210114095011_046,33525,16106142109892768,2000
ea1p1,20210114095011_085,14708,16106142110566298,1000
ea1p1,20210114095011_168,38285,16106142110473608,2000
ea1p1,20210114095011_17,40320,16106142110467752,2000
ea1p1,20210114095011_255,47911,16106142111717010,2000
ea1p1,20210114095011_265,12923,16106142112430040,1000
ea1p1,20210114095011_346,16238,16106142112607902,1000
ea1p1,20210114095011_369,13304,16106142113468630,1000
ea1p1,20210114095011_416,14891,16106142113908350,1000
ea1p1,20210114095011_439,13949,16106142114176310,1000
ea1p1,20210114095011_503,34208,16106142114002900,2000
ea1p1,20210114095011_565,17490,16106142114988812,1000
ea1p1,20210114095011_645,16670,16106142115177090,1000
ea1p1,20210114095011_689,17969,16106142116585880,1000
ea1p1,20210114095011_729,20548,16106142116887230,1000
ea1p1,20210114095011_729,38496,16106142116568500,2000
ea1p1,20210114095011_86,35112,16106142117256730,2000
ea1p1,20210114095011_872,13138,16106142117687600,1000
ea1p1,20210114095011_953,13599,16106142119208780,1000
ea1p1,20210114095011_974,12828,16106142119469710,1000
ea1p1,20210114095012_052,36331,16106142119748190,2000
ea1p1,20210114095012_148,41602,16106142119928550,2000
ea1p1,20210114095012_228,35815,16106142121437740,2000
ea1p1,20210114095012_249,16651,16106142122076070,1000
ea1p1,20210114095012_261,50040,16106142121487998,2000
ea1p1,20210114095012_29,14304,16106142122617450,1000
ea1p1,20210114095012_399,45620,16106142122286602,2000
ea1p1,20210114095012_494,15703,16106142124299800,1000
ea1p1,20210114095012_507,39257,16106142123133560,2000
ea1p1,20210114095012_559,20018,16106142125148870,1000
ea1p1,20210114095012_591,16247,16106142125575300,1000
ea1p1,20210114095012_685,37776,16106142125515512,2000
ea1p1,20210114095012_713,19467,16106142126735780,1000
ea1p1,20210114095012_715,20101,16106142126764482,1000
ea1p1,20210114095012_718,17978,16106142126862660,1000
ea1p1,20210114095012_737,14793,16106142127133820,1000
ea1p1,20210114095012_766,15535,16106142127377720,1000
ea1p1,20210114095012_78,38639,16106142127149780,2000
ea1p1,20210114095012_809,15382,16106142127855330,1000
ea1p1,20210114095012_874,34253,16106142127628940,2000
ea1p1,20210114095012_884,29974,16106142127787048,2000
ea1p1,20210114095012_895,14490,16106142128103680,1000
ea1p1,20210114095012_932,24255,16106142128844420,1000
ea1p1,20210114095012_939,37047,16106142128079250,2000
ea1p1,20210114095012_966,17933,16106142129256820,1000
ea1p1,20210114095013_002,18582,16106142129671730,1000
ea1p1,20210114095013_218,39101,16106142131280480,2000
ea1p1,20210114095013_243,43892,16106142131503630,2000
ea1p1,20210114095013_25,14666,16106142132146658,1000
ea1p1,20210114095013_497,17718,16106142134526278,1000
ea1p1,20210114095013_509,38177,16106142134090340,2000
ea1p1,20210114095013_582,33357,16106142135069670,2000
ea1p1,20210114095013_642,31581,16106142135228680,2000
ea1p1,20210114095013_668,16344,16106142136424438,1000
ea1p1,20210114095013_717,41748,16106142136460732,2000
ea1p1,20210114095013_723,19139,16106142136818140,1000
ea1p1,20210114095013_799,42590,16106142137182830,2000
ea1p1,20210114095013_893,15881,16106142138002980,1000
ea1p1,20210114095013_911,17016,16106142138763760,1000
ea1p1,20210114095013_962,15846,16106142139313490,1000
ea1p1,20210114095013_993,38774,16106142139215600,2000
ea1p1,20210114095014_155,15699,16106142141197218,1000
ea1p1,20210114095014_171,20338,16106142141243752,1000
ea1p1,20210114095014_197,16768,16106142141573940,1000
ea1p1,20210114095014_224,45984,16106142141230080,2000
ea1p1,20210114095014_365,34471,16106142142283070,2000
ea1p1,20210114095014_422,29854,16106142143569118,2000
ea1p1,20210114095014_465,15081,16106142144324232,1000
ea1p1,20210114095014_478,19188,16106142144384680,1000
ea1p1,20210114095014_555,55516,16106142144231228,2000
ea1p1,20210114095014_667,29492,16106142145478940,2000
ea1p1,20210114095014_68,59747,16106142144786830,2000
ea1p1,20210114095014_681,16624,16106142146429160,1000
ea1p1,20210114095014_754,29978,16106142146806460,2000
ea1p1,20210114095014_765,35279,16106142146815910,2000
ea1p1,20210114095014_771,32339,16106142146977670,2000
ea1p1,20210114095014_874,36611,16106142147403988,2000
ea1p1,20210114095015_024,14865,16106142149654850,1000
ea1p1,20210114095015_03,12214,16106142149827020,1000
ea1p1,20210114095015_077,33325,16106142149599940,2000
ea1p1,20210114095015_082,30176,16106142149750240,2000
ea1p1,20210114095015_184,35839,16106142150311698,2000
ea1p1,20210114095015_186,22131,16106142150736830,1000
ea1p1,20210114095015_209,15970,16106142151796830,1000
ea1p1,20210114095015_223,35224,16106142150827040,2000
ea1p1,20210114095015_297,36611,16106142152243350,2000
