R,algorithm,date,iteration,seed,size
1146228736,RLSSDstarstar,20210112144909_774,87427,16104593338911770,48
285610000,RLSSDstarstar,20210112144913_457,30682,16104593497751300,36
1146228736,RLSSDstarstar,20210112144925_578,70606,16104593534582592,48
285610000,RLSSDstarstar,20210112144933_018,64717,16104593655785380,36
21381376,RLSSDstarstar,20210112145022_679,14315,16104594221061410,24
25411681,RLSSDstarstar,20210112145454_73,13435,16104596924591830,24
260144641,RLSSDstarstar,20210112145601_6,44211,16104597482668210,36
1121513121,RLSSDstarstar,20210112145625_309,91940,16104597453164130,48
1121513121,RLSSDstarstar,20210112145628_333,71993,16104597562955598,48
1121513121,RLSSDstarstar,20210112145642_588,78137,16104597660357680,48
1121513121,RLSSDstarstar,20210112145729_836,61799,16104598212131910,48
260144641,RLSSDstarstar,20210112145748_939,21718,16104598630817030,36
25411681,RLSSDstarstar,20210112145925_582,14416,16104599627076630,24
25411681,RLSSDstarstar,20210112145926_968,9183,16104599655841710,24
1121513121,RLSSDstarstar,20210112145927_15,69993,16104599370995532,48
25411681,RLSSDstarstar,20210112150111_112,13815,16104600686117560,24
1121513121,RLSSDstarstar,20210112150156_917,120471,16104600684817670,48
25411681,RLSSDstarstar,20210112150205_768,7056,16104601246052530,24
260144641,RLSSDstarstar,20210112150249_474,40308,16104601584817540,36
1121513121,RLSSDstarstar,20210112150629_823,72453,16104603625359210,48
1121513121,RLSSDstarstar,20210112150732_384,90606,16104604182525720,48
260144641,RLSSDstarstar,20210112150931_826,34096,16104605623668840,36
25411681,RLSSDstarstar,20210112151026_079,5791,16104606245972090,24
260144641,RLSSDstarstar,20210112151116_924,37883,16104606659459470,36
260144641,RLSSDstarstar,20210112151132_541,38575,16104606818422360,36
260144641,RLSSDstarstar,20210112151140_261,30294,16104606915904060,36
1121513121,RLSSDstarstar,20210112151217_922,93678,16104607002616170,48
260144641,RLSSDstarstar,20210112151300_32,52574,16104607664470380,36
25411681,RLSSDstarstar,20210112151304_677,7136,16104607835006508,24
25411681,RLSSDstarstar,20210112151337_982,13550,16104608158772070,24
260144641,RLSSDstarstar,20210112151426_178,39420,16104608553858530,36
25411681,RLSSDstarstar,20210112151450_039,8986,16104608885934970,24
260144641,RLSSDstarstar,20210112151454_4,41075,16104608835054550,36
260144641,RLSSDstarstar,20210112151502_976,31283,16104608944012670,36
1121513121,RLSSDstarstar,20210112151508_85,110694,16104608661797500,48
260144641,RLSSDstarstar,20210112151516_357,28747,16104609088512980,36
25411681,RLSSDstarstar,20210112151518_036,10387,16104609163581290,24
260144641,RLSSDstarstar,20210112151529_956,44393,16104609180372830,36
1121513121,RLSSDstarstar,20210112151631_403,38744,16104609763123930,48
1121513121,RLSSDstarstar,20210112151637_563,121837,16104609508804460,48
25411681,RLSSDstarstar,20210112151638_982,9593,16104609975645910,24
1121513121,RLSSDstarstar,20210112151647_887,81654,16104609764735640,48
1121513121,RLSSDstarstar,20210112151702_24,88467,16104609881966540,48
1121513121,RLSSDstarstar,20210112151707_029,73528,16104609989831710,48
1121513121,RLSSDstarstar,20210112151719_905,81016,16104610087205110,48
260144641,RLSSDstarstar,20210112151734_298,53014,16104610399058918,36
25411681,RLSSDstarstar,20210112151736_185,12228,16104610542990150,24
1121513121,RLSSDstarstar,20210112151842_464,72765,16104610934038600,48
260144641,RLSSDstarstar,20210112151904_038,40484,16104611330744910,36
25411681,RLSSDstarstar,20210112151905_184,7095,16104611440392662,24
1121513121,RLSSDstarstar,20210112152102_56,69434,16104612356391038,48
1121513121,RLSSDstarstar,20210112152127_696,66914,16104612630216880,48
25411681,RLSSDstarstar,20210112152154_399,11498,16104613126281020,24
1121513121,RLSSDstarstar,20210112152237_502,111535,16104613143996560,48
25411681,RLSSDstarstar,20210112152238_712,8000,16104613575033310,24
25411681,RLSSDstarstar,20210112152304_456,10340,16104613828531290,24
260144641,RLSSDstarstar,20210112152326_027,26271,16104613989785790,36
25411681,RLSSDstarstar,20210112152344_699,11908,16104614227966750,24
25411681,RLSSDstarstar,20210112152346_683,13553,16104614247002190,24
25411681,RLSSDstarstar,20210112152357_287,10085,16104614357985570,24
260144641,RLSSDstarstar,20210112152513_019,40969,16104615023587698,36
260144641,RLSSDstarstar,20210112152604_918,30718,16104615596946470,36
25411681,RLSSDstarstar,20210112152739_071,15988,16104616575337440,24
260144641,RLSSDstarstar,20210112152747_655,29225,16104616619175350,36
260144641,RLSSDstarstar,20210112152754_837,40397,16104616674123312,36
1049760000,RLSSDstarstar,20210112154432_963,37240,16104626563531662,36
1049760000,RLSSDstarstar,20210112154536_349,78155,16104627011764520,36
49787136,RLSSDstarstar,20210112154631_941,9386,16104627900061640,24
9475854336,RLSSDstarstar,20210112154821_526,165380,16104627816339942,48
49787136,RLSSDstarstar,20210112154949_439,12103,16104629871918408,24
9475854336,RLSSDstarstar,20210112155234_902,373855,16104629015278080,48
49787136,RLSSDstarstar,20210112155605_927,10856,16104633638204890,24
1049760000,RLSSDstarstar,20210112160046_648,54360,16104636240557990,36
9475854336,RLSSDstarstar,20210112160111_828,186099,16104635400015030,48
1049760000,RLSSDstarstar,20210112160225_851,87471,16104637096943500,36
9475854336,RLSSDstarstar,20210112160341_456,215259,16104636718295270,48
1049760000,RLSSDstarstar,20210112160352_064,50445,16104638110711470,36
